,0
mom_3m,274.7090909090909
mom_6m,250.63636363636363
mom_vol_3m,246.01818181818183
mom_1m,245.03636363636363
mom_12m,229.43636363636364
mom_vol_12m,221.07272727272726
mom_sma50_200_ratio,205.52727272727273
mom_12m_1m,203.47272727272727
mom_drawdown_52w,175.85454545454544
q_fcf_to_ni,104.41818181818182
mgmt_equity_per_share_growth,103.67272727272727
mgmt_payout_ratio,93.16363636363636
moat_rev_growth_mean,92.98181818181818
q_gross_margin,91.38181818181818
q_current_ratio,91.30909090909091
moat_rev_growth_std,85.63636363636364
moat_eps_growth_mean,85.18181818181819
q_op_margin,82.78181818181818
moat_gm_std_5y,81.14545454545454
mgmt_fcf_conversion_min,80.58181818181818
moat_om_std_5y,78.85454545454546
q_net_margin,78.52727272727273
moat_roic_std_5y,77.45454545454545
moat_roic_trend,76.50909090909092
mgmt_payout_stability,75.92727272727272
mgmt_debt_trend,73.27272727272727
q_roe,71.8
moat_gm_trend,70.47272727272727
moat_om_trend,69.67272727272727
mgmt_debt_change_3y,69.18181818181819
mgmt_fcf_conversion_mean,65.65454545454546
moat_roic_min_5y,63.69090909090909
q_roa,63.54545454545455
q_debt_ratio,61.54545454545455
q_roic,61.236363636363635
moat_om_min_5y,57.018181818181816
moat_roic_mean_5y,55.41818181818182
moat_gm_mean_5y,54.54545454545455
moat_om_mean_5y,48.0
moat_gm_min_5y,45.49090909090909
q_piotroski,32.127272727272725
moat_eps_growth_positive,23.254545454545454
mgmt_roic_trend,17.363636363636363
moat_rev_positive_years,16.763636363636362
mom_above_sma50,9.581818181818182
moat_roic_above_10_pct,5.545454545454546
mom_above_sma200,2.909090909090909
