fold,train_start,train_end,test_start,test_end,best_params,train_sortino,train_cagr,oos_sortino,oos_cagr,oos_sharpe,oos_max_drawdown,oos_excess,oos_trades
1,2011-01-01,2015-12-31,2016-01-01,2016-12-31,"{'buy_threshold': 40, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 540, 'min_hold_days': 30}",1.2273494992887308,0.18695209663452883,2.0423056439436897,0.3284314917300415,1.5324672353363427,-0.10108763427662813,0.21133718046954098,2
2,2012-01-01,2016-12-31,2017-01-01,2017-12-31,"{'buy_threshold': 35, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 180, 'min_hold_days': 30}",1.2996401089818896,0.17853017535337123,2.483376240037446,0.2470678174688017,1.8624925626967819,-0.0686256475499504,0.035609788554463284,2
3,2013-01-01,2017-12-31,2018-01-01,2018-12-31,"{'buy_threshold': 50, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 540, 'min_hold_days': 30}",1.6773776600281871,0.21837381379095477,-0.6852978585784941,-0.0746395695678137,-0.4816049242784053,-0.23587892904781763,-0.030093624901813443,0
4,2014-01-01,2018-12-31,2019-01-01,2019-12-31,"{'buy_threshold': 35, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 365, 'min_hold_days': 30}",1.0899785863006648,0.16121244024551773,1.2866402629464657,0.1837365508876676,0.9612775783523786,-0.11013600212716657,-0.12020733769380221,7
5,2015-01-01,2019-12-31,2020-01-01,2020-12-31,"{'buy_threshold': 50, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 540, 'min_hold_days': 30}",0.7259786881090435,0.12163338321795258,0.7649285040752067,0.22571119574419596,0.6475617956837603,-0.3397066644650141,0.04583919337521114,6
6,2016-01-01,2020-12-31,2021-01-01,2021-12-31,"{'buy_threshold': 40, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 540, 'min_hold_days': 30}",1.1914482159523103,0.22772651996679594,0.48547316158139936,0.09088302607480747,0.34048168169643056,-0.13636834803281497,-0.19656156581090367,7
7,2017-01-01,2021-12-31,2022-01-01,2022-12-31,"{'buy_threshold': 35, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 540, 'min_hold_days': 30}",1.137024559919546,0.23338106623573185,-1.1767087050329423,-0.2382818982212236,-0.8207620385911018,-0.369367492496988,-0.055895852302850324,6
8,2018-01-01,2022-12-31,2023-01-01,2023-12-31,"{'buy_threshold': 35, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 180, 'min_hold_days': 30}",0.6293483750694866,0.1332236163763978,1.0495448807723278,0.16890228957195874,0.6992235478234871,-0.14003568657660997,-0.09536785761456823,9
9,2019-01-01,2023-12-31,2024-01-01,2024-12-31,"{'buy_threshold': 35, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 180, 'min_hold_days': 30}",0.6902589645439903,0.140137778175085,0.4484589831637153,0.07892156504361525,0.2869117271921618,-0.09840761676681975,-0.14798177571849958,7
10,2020-01-01,2024-12-31,2025-01-01,2025-12-31,"{'buy_threshold': 40, 'sell_threshold': 15, 'max_positions': 15, 'max_hold_days': 180, 'min_hold_days': 30}",0.9384169592495737,0.1858217957727022,0.9543391371188933,0.16677538039577255,0.6479352334660466,-0.19463885273281079,-0.011952649132350723,1
